,word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
136,acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,acquisitions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,acreage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,acres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,acrobat,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
141,act,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,acting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,action,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,actionable,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
145,active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,actor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,actual,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
149,actuality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,actuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,acuity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
152,acumen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
153,acupuncture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,acutely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,adage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,adamant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,adapt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
158,adaptable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
159,add,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,added,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,addendum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,adder,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
163,addiction,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164,addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,additional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,additive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,address,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,addressee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,addresses,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170,adept,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
171,adequacy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
172,adequate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,adhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,adherence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,adherent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,adhering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
177,adhesion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,adhesive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,adieu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
