,0
1386,11
1387,25
1388,31
1389,26
1390,24
1391,5
1392,29
1393,0
1394,8
1395,15
1396,15
1397,24
1398,16
1399,26
1400,25
1401,24
1402,24
1403,16
1404,24
1405,24
1406,24
1407,24
1408,26
1409,24
1410,31
1411,18
1412,24
1413,24
1414,19
1415,24
1416,14
1417,24
1418,14
1419,2
1420,12
1421,22
1422,24
1423,18
1424,2
1425,24
1426,16
1427,13
1428,17
1429,1
1430,28
1431,18
1432,4
1433,0
1434,24
1435,24
1436,24
1437,12
1438,24
1439,17
1440,24
1441,24
1442,24
1443,1
1444,24
1445,24
1446,29
1447,24
1448,14
1449,15
1450,18
1451,26
1452,21
1453,22
1454,16
1455,24
1456,20
1457,21
1458,24
1459,21
1460,16
1461,18
1462,21
1463,24
1464,13
1465,11
1466,24
1467,19
1468,9
1469,18
1470,24
1471,20
1472,23
1473,17
1474,19
1475,25
1476,21
1477,24
1478,1
1479,19
1480,20
1481,23
1482,26
1483,1
1484,20
1485,20
1486,20
1487,16
1488,19
1489,24
1490,3
1491,12
1492,17
1493,18
1494,4
1495,21
1496,17
1497,11
1498,20
1499,27
1500,20
1501,18
1502,12
1503,24
1504,11
1505,27
1506,28
1507,20
1508,8
1509,3
1510,24
1511,26
1512,20
1513,4
1514,12
1515,3
1516,16
1517,18
1518,1
1519,3
1520,19
1521,18
1522,22
1523,21
1524,24
1525,17
1526,11
1527,9
1528,12
1529,3
1530,23
1531,20
1532,15
1533,23
1534,22
1535,26
1536,5
1537,22
1538,3
1539,3
1540,24
1541,20
1542,26
1543,20
1544,22
1545,16
1546,22
1547,3
1548,6
1549,17
1550,27
1551,18
1552,15
1553,23
1554,26
1555,19
1556,20
1557,18
1558,12
1559,17
1560,11
1561,20
1562,20
1563,24
1564,23
1565,19
1566,23
1567,11
1568,16
1569,26
1570,21
1571,27
1572,27
1573,11
1574,21
1575,3
1576,22
1577,2
1578,10
1579,24
1580,13
1581,30
1582,21
1583,8
1584,20
1585,23
1586,18
1587,24
1588,20
1589,15
1590,23
1591,24
1592,24
1593,21
1594,10
1595,18
1596,24
1597,24
1598,21
1599,24
1600,12
1601,29
1602,26
1603,14
1604,12
1605,20
1606,24
1607,18
1608,8
1609,24
1610,24
1611,29
1612,17
1613,24
1614,18
1615,23
1616,18
1617,24
1618,20
1619,10
1620,18
1621,24
1622,12
1623,23
1624,24
1625,12
1626,19
1627,14
1628,23
1629,15
1630,27
1631,20
1632,23
1633,23
1634,20
1635,20
1636,17
1637,13
1638,18
1639,25
1640,20
1641,18
1642,27
1643,24
1644,21
1645,20
1646,19
1647,20
1648,19
1649,20
1650,23
1651,24
1652,23
1653,20
1654,23
1655,20
1656,10
1657,23
1658,12
1659,14
1660,20
1661,20
1662,18
1663,20
1664,29
1665,24
1666,17
1667,12
1668,25
1669,33
1670,12
1671,22
1672,2
1673,20
1674,23
1675,24
1676,20
1677,18
1678,22
1679,20
1680,24
1681,20
1682,21
1683,21
1684,17
1685,3
1686,23
1687,5
1688,21
1689,18
1690,24
1691,27
1692,14
1693,27
1694,20
1695,24
1696,23
1697,24
1698,28
1699,14
1700,18
1701,25
1702,18
1703,20
1704,28
1705,14
1706,24
1707,18
1708,8
1709,24
1710,28
1711,20
1712,23
1713,14
1714,26
1715,18
1716,20
1717,19
1718,24
1719,3
1720,21
1721,12
1722,23
1723,24
1724,16
1725,18
1726,19
1727,24
1728,23
1729,12
1730,15
1731,20
1732,24
1733,24
1734,18
1735,24
1736,24
1737,26
1738,24
1739,21
1740,19
1741,24
1742,15
1743,25
1744,24
1745,18
1746,24
1747,24
1748,12
1749,24
1750,24
1751,23
1752,20
1753,20
1754,18
1755,14
1756,12
1757,19
1758,16
1759,22
1760,4
1761,16
1762,22
1763,23
1764,19
1765,23
1766,11
1767,16
1768,12
1769,20
1770,6
1771,26
1772,18
1773,11
1774,16
1775,16
1776,15
1777,24
1778,3
1779,5
1780,24
1781,17
1782,20
1783,17
1784,30
1785,24
1786,20
1787,15
1788,25
1789,27
1790,24
1791,15
1792,23
1793,29
1794,20
1795,20
1796,27
1797,24
1798,20
1799,18
1800,11
1801,10
1802,24
1803,4
1804,22
1805,19
1806,8
1807,24
1808,24
1809,24
1810,20
1811,26
1812,10
1813,20
1814,24
1815,4
1816,18
1817,18
1818,23
1819,3
1820,24
1821,24
1822,27
1823,19
1824,24
1825,20
1826,23
1827,16
1828,15
1829,27
1830,16
1831,11
1832,25
1833,15
1834,21
1835,19
1836,24
1837,4
1838,20
1839,12
1840,7
1841,26
1842,20
1843,6
1844,24
1845,17
1846,8
1847,21
1848,7
1849,21
1850,7
1851,19
1852,6
1853,19
1854,23
1855,12
1856,24
1857,6
1858,21
1859,8
1860,27
1861,19
1862,17
1863,21
1864,21
1865,20
1866,9
1867,7
1868,15
1869,24
1870,17
1871,27
1872,24
1873,24
1874,24
1875,6
1876,24
1877,28
1878,21
1879,20
1880,16
1881,15
1882,18
1883,3
1884,6
1885,22
1886,20
1887,22
1888,24
1889,24
1890,20
1891,12
1892,23
1893,23
1894,27
1895,21
1896,12
1897,7
1898,27
1899,8
1900,20
1901,26
1902,31
1903,12
1904,24
1905,11
1906,15
1907,11
1908,27
1909,11
1910,23
1911,9
1912,6
1913,24
1914,24
1915,23
1916,27
1917,21
1918,24
1919,27
1920,24
1921,19
1922,20
1923,24
1924,20
1925,11
1926,24
1927,20
1928,14
1929,24
1930,24
1931,22
1932,11
1933,6
1934,23
1935,23
1936,24
1937,15
1938,21
1939,20
1940,22
1941,27
1942,23
1943,24
1944,10
1945,3
1946,19
1947,20
1948,12
1949,24
1950,16
1951,18
1952,14
1953,23
1954,24
1955,17
1956,18
1957,20
1958,18
1959,18
1960,29
1961,15
1962,18
1963,20
1964,24
1965,20
1966,18
1967,24
1968,22
1969,3
1970,24
1971,18
1972,3
1973,21
1974,12
1975,24
1976,21
1977,20
1978,12
1979,15
1980,11
1981,24
1982,18
1983,20
1984,27
1985,13
1986,23
1987,28
1988,20
1989,11
1990,18
1991,23
1992,12
1993,16
1994,11
1995,24
1996,31
1997,23
1998,18
1999,24
2000,21
2001,24
2002,12
2003,16
2004,20
2005,21
2006,10
2007,19
2008,22
2009,24
2010,31
2011,24
2012,23
2013,21
2014,13
2015,29
2016,16
2017,18
2018,20
2019,29
2020,24
2021,6
2022,3
2023,12
2024,31
2025,23
2026,30
2027,14
2028,17
2029,18
2030,31
2031,24
2032,31
2033,26
2034,24
2035,24
2036,18
2037,23
2038,27
2039,24
2040,12
2041,13
2042,20
2043,13
2044,0
2045,20
2046,24
2047,24
2048,24
2049,23
2050,23
2051,0
2052,8
2053,0
2054,16
2055,5
2056,25
2057,24
2058,20
2059,20
2060,24
2061,24
2062,10
2063,18
2064,11
2065,11
2066,24
2067,20
2068,24
2069,23
2070,26
2071,0
2072,16
2073,20
2074,3
2075,24
2076,5
2077,18
2078,24
2079,20
2080,17
2081,24
2082,2
2083,20
2084,24
2085,24
2086,23
2087,18
2088,0
2089,24
2090,9
2091,24
2092,24
2093,3
2094,24
2095,18
2096,18
2097,24
2098,3
2099,30
2100,20
2101,23
2102,24
2103,33
2104,24
2105,21
2106,34
2107,18
2108,4
2109,23
2110,22
2111,17
2112,19
2113,20
2114,18
2115,22
2116,20
2117,24
2118,25
2119,23
2120,31
2121,18
2122,24
2123,19
2124,25
2125,25
2126,36
2127,18
2128,21
2129,28
2130,20
2131,17
2132,12
2133,6
2134,26
2135,25
2136,23
